Code,Country,I1,I2a,I2b,R1a,R1b,G,J2,J1,E1b1b,T,Q,N
ALB,Albania,2,12,1.5,9,16,1.5,19.5,2,27.5,1,0,0
AUT,Austria,12,7,2.5,19,32,7.5,9,1,8,1,0.5,0.5
BLR,Belarus,5.5,17.5,1,51,5.5,1.5,2.5,1,4,0,0,10
BEL,Belgium,12,3,4.5,4,61,4,4,1,5,1,0.5,0
BIH,Bosnia-Herzegovina,3,55.5,0,15,3.5,1.5,4,0.5,12,1,2,2
BGR,Bulgaria,4,20,2,17,11,5,11,3,23.5,1.5,0.5,0.5
HRV,Croatia,5.5,37,1,24,8.5,2.5,6,1,10,0.5,1,0.5
CZE,Czech Republic,11,9,4,34,22,5,6,0,6,1,1.5,0.5
CYP,Cyprus,0,8,0,3,9,9,37,6,20,5,0,0
DNK,Denmark,34,2,5.5,15,33,2.5,3,0,2.5,0,1,1
GBR,UK,14,2.5,4.5,4.5,67,1.5,3.5,0,2,0.5,0.5,0
EST,Estonia,15,3,0.5,32,8,0,1,0,2.5,3.5,0.5,34
FIN,Finland,28,0,0.5,5,3.5,0,0,0,0.5,0,0,61.5
FRA,France,8.5,3,3.5,3,58.5,5.5,6,1.5,7.5,1,0.5,0
DEU,Germany,16,1.5,4.5,16,44.5,5,4.5,0,5.5,1,0.5,1
GRC,Greece,3.5,9.5,1.5,11.5,15.5,6.5,23,3,21,4.5,0,0
HUN,Hungary,8.5,16,2,29.5,18.5,3.5,6.5,3,8,0,0,0.5
ISL,Iceland,29,0,4,23,42,0,0,0,0,0,1,1
IRL,Ireland,6,1,5,2.5,81,1,1,0,2,0,0,0
ITA,Italy,4.5,3,2.5,4,39,9,15.5,3,13.5,2.5,0,0
LVA,Latvia,6,1,1,40,12,0,0.5,0,0.5,0.5,0.5,38
LTU,Lithuania,6,6,1,38,5,0,0,0,1,0.5,0.5,42
MKD,Macedonia,3,23,1.5,13.5,12.5,4,14,2,21.5,1.5,0.5,0.5
MLT,Malta,1,10,1,3.5,32.5,6.5,21,8,9,4.5,1,0
MDA,Moldova,5,21,3,30.5,16,1,4,4,13,1,0,1.5
MNE,Montenegro,6,29.5,1.5,7.5,9.5,2.5,9,0.5,27,0,2,1.5
NLD,Netherlands,16.5,1,6.5,4,49,4.5,3.5,0.5,3.5,1,0,0
NOR,Norway,31.5,0,4.5,25.5,32,1,0.5,0,1,0,1,2.5
POL,Poland,8.5,5.5,2,57.5,12.5,1.5,2.5,0,3.5,0.5,0.5,4
PRT,Portugal,2,1.5,3,1.5,56,6.5,9.5,3,14,2.5,0.5,0
ROU,Romania,4.5,26,2.5,17.5,12,5,13.5,1.5,15,0.5,0.5,0.5
RUS,Russia,5,10.5,0,46,6,1,3,0,2.5,1.5,1.5,23
SRB,Serbia,8.5,33,0.5,16,8,2,8,0.5,18,1,1.5,2
SVK,Slovakia,6.5,16,1.5,41.5,14.5,4,2,1,6.5,0.5,0.5,3
SVN,Slovenia,9,20.5,1.5,38,18,1.5,2.5,0,5,1,0,0
ESP,Spain,1.5,4.5,1,2,69,3,8,1.5,7,2.5,0,0
SWE,Sweden,37,1.5,3.5,16,21.5,1,2.5,0,3,0,2.5,7
CHE,Switzerland,14,1.5,8,3.5,50,7.5,3,0.5,7.5,0.5,1.5,1
UKR,Ukraine,3.5,13,0.5,45,7.5,2.5,7,1,5.5,1,1,7.5
